run_id,model,dataset,dataset_name,dataset_path,request_rate,burstiness,num_prompts,micro_batch,max_model_len,host,port,pp_size,tp_size,dtype,seed
E24_M=2_s2,Qwen/Qwen2.5-14B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,2,4096,127.0.0.1,8000,2,1,float16,2
E24_M=4_s0,Qwen/Qwen2.5-14B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,4,4096,127.0.0.1,8000,2,1,float16,0
E24_M=4_s1,Qwen/Qwen2.5-14B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,4,4096,127.0.0.1,8000,2,1,float16,1
E24_M=4_s2,Qwen/Qwen2.5-14B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.25,200,4,4096,127.0.0.1,8000,2,1,float16,2
E25_M=1_s0,Qwen/Qwen2.5-3B,Astro-QA,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,0.5,1.0,200,1,4096,127.0.0.1,8000,2,1,float16,0
E25_M=2_s0,Qwen/Qwen2.5-3B,Astro-QA,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,0.5,1.0,200,2,4096,127.0.0.1,8000,2,1,float16,0
E25_M=4_s0,Qwen/Qwen2.5-3B,Astro-QA,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,0.5,1.0,200,4,4096,127.0.0.1,8000,2,1,float16,0
E26_M=1_s0,Qwen/Qwen2.5-7B,Astro-QA,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,0.5,1.0,200,1,4096,127.0.0.1,8000,2,1,float16,0
E26_M=2_s0,Qwen/Qwen2.5-7B,Astro-QA,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,0.5,1.0,200,2,4096,127.0.0.1,8000,2,1,float16,0
E26_M=4_s0,Qwen/Qwen2.5-7B,Astro-QA,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,0.5,1.0,200,4,4096,127.0.0.1,8000,2,1,float16,0
E27_M=1_s0,Qwen/Qwen2.5-14B,Astro-QA,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,0.5,1.0,200,1,4096,127.0.0.1,8000,2,1,float16,0
E27_M=2_s0,Qwen/Qwen2.5-14B,Astro-QA,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,0.5,1.0,200,2,4096,127.0.0.1,8000,2,1,float16,0
E27_M=4_s0,Qwen/Qwen2.5-14B,Astro-QA,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,0.5,1.0,200,4,4096,127.0.0.1,8000,2,1,float16,0
E28_M=1_s0,Qwen/Qwen2.5-3B,Astro-QA,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,2.0,1.0,200,1,4096,127.0.0.1,8000,2,1,float16,0
E28_M=2_s0,Qwen/Qwen2.5-3B,Astro-QA,custom,/workspace/DATASET/Astro-QA/Astro-QA_vllm_custom.jsonl,2.0,1.0,200,2,4096,127.0.0.1,8000,2,1,float16,0
